feat_3,feat_4
0,38
0,56
2,48
7,35
0,71
2,51
2,62
7,5
0,64
3,25
8,10
3,45
1,36
7,15
-1,43
3,76
-1,70
9,9
1,10
1,66
6,18
1,77
8,15
5,43
6,61
9,48
10,79
4,39
8,6
3,48
3,24
6,3
3,8
0,26
3,2
3,41
1,48
9,71
8,86
3,89
4,38
1,-3
1,83
6,38
2,75
3,24
10,85
1,35
7,40
3,63
1,83
8,88
5,83
4,4
4,43
0,41
2,80
2,83
9,54
0,71
4,29
2,34
3,19
2,91
5,72
1,68
1,3
7,45
4,55
3,46
7,52
1,24
8,15
5,49
7,68
5,35
5,14
0,28
7,1
5,33
3,62
7,72
4,92
6,65
4,35
8,72
8,15
1,14
3,12
0,44
7,38
4,19
6,79
7,84
5,10
6,88
7,46
1,28
4,73
3,64
7,66
4,13
5,13
8,13
2,27
6,68
6,45
5,73
9,37
0,8
6,18
1,57
7,22
4,25
3,91
7,22
3,48
3,38
-1,15
8,40
0,60
9,82
6,25
2,77
2,71
8,84
5,81
4,37
8,18
2,6
8,78
7,46
1,25
2,51
7,1
1,14
7,24
7,31
10,3
5,18
5,62
8,6
9,44
4,3
6,14
0,31
3,28
5,10
4,16
9,45
2,73
5,78
2,1
9,9
6,50
7,45
6,60
9,55
5,43
9,85
0,81
2,16
3,13
5,26
6,63
0,79
7,27
1,42
1,82
-1,50
2,44
8,41
4,73
2,71
1,86
7,85
3,0
8,82
6,81
2,11
6,17
6,31
4,20
8,84
6,32
3,23
6,21
6,28
5,46
1,10
1,11
2,47
6,38
6,29
3,7
5,34
7,49
9,69
7,57
5,34
2,80
3,26
1,46
8,73
4,82
0,78
10,82
1,48
2,60
-1,53
3,37
8,11
-1,26
6,13
5,79
9,29
5,27
1,69
5,81
4,13
6,78
5,17
2,55
4,56
6,52
5,45
3,73
3,89
6,13
7,29
4,-2
7,42
5,45
6,78
8,15
5,6
6,60
3,74
0,4
8,43
2,36
3,42
3,35
3,85
10,28
7,12
7,75
0,45
5,62
7,22
0,77
8,72
5,53
8,42
7,4
5,32
4,44
0,60
3,26
3,73
2,22
6,21
8,55
8,35
8,11
6,36
2,55
10,63
0,12
6,7
1,-3
7,39
9,57
8,53
-1,48
3,54
4,58
1,48
7,46
5,5
5,6
2,25
7,59
7,8
3,40
1,12
3,54
10,58
10,64
3,49
3,12
10,-5
3,31
4,81
6,69
1,9
6,1
0,35
2,75
1,44
8,68
0,29
9,33
3,16
3,50
4,0
4,71
4,33
1,34
8,36
6,79
2,23
3,10
6,25
1,69
6,29
8,41
8,68
9,91
4,66
4,67
10,75
8,68
0,56
7,3
-1,89
2,71
8,1
5,27
1,12
1,-1
2,88
4,21
7,46
7,-2
2,16
5,82
5,0
4,38
7,1
0,7
6,25
6,65
1,44
7,87
2,49
5,25
3,67
9,57
9,86
7,51
4,68
7,72
4,17
8,35
8,65
1,61
0,23
7,33
2,6
9,6
8,56
9,10
2,1
3,90
0,61
9,11
5,24
-1,34
2,28
5,32
6,82
2,56
5,65
6,83
3,32
8,42
6,28
4,22
0,53
5,22
1,28
4,14
3,33
3,66
8,26
5,54
8,9
4,59
8,90
7,60
7,68
7,-4
0,59
-1,4
6,36
7,38
2,90
3,43
5,78
5,19
10,77
9,12
0,51
4,62
2,63
8,81
4,13
8,56
1,53
4,77
0,77
8,15
5,70
4,64
2,46
8,-4
5,51
10,39
6,26
1,85
6,29
6,26
2,90
4,69
10,20
2,46
2,42
8,49
1,54
6,83
7,5
8,44
6,30
10,72
4,25
3,42
8,72
8,62
1,35
5,28
-1,27
6,84
8,28
7,59
8,41
6,51
8,15
8,28
5,63
2,75
3,7
8,48
0,35
3,10
9,46
0,24
3,59
8,46
2,41
7,38
9,46
8,30
9,74
7,20
7,48
4,7
4,20
7,68
3,77
8,7
1,80
6,24
1,7
0,38
9,77
0,72
4,19
4,86
9,53
3,77
7,48
2,51
4,51
3,8
9,20
5,35
1,32
9,85
5,22
6,29
-1,83
9,44
2,23
1,57
10,45
8,89
5,32
5,8
1,11
4,20
2,57
0,62
3,28
9,63
1,67
4,72
3,89
2,61
3,14
3,29
0,36
3,74
8,65
-1,79
10,46
1,69
0,13
4,56
7,30
3,25
8,50
6,56
3,9
0,42
1,42
7,6
1,42
7,39
4,50
3,41
6,33
2,42
2,51
-1,5
2,75
2,69
9,16
1,5
4,87
9,59
2,72
-1,72
4,58
5,64
5,69
4,58
1,72
0,53
3,70
2,9
9,75
7,72
7,80
6,35
8,33
4,63
0,43
5,38
7,44
4,53
2,31
0,62
3,77
5,49
0,64
1,51
5,72
7,15
6,79
4,60
2,25
6,69
1,27
1,18
3,54
8,88
8,57
6,71
3,9
7,28
4,75
5,64
7,-1
1,39
6,79
2,67
3,24
5,75
2,74
5,30
6,22
3,42
7,44
6,63
9,57
1,55
8,57
6,68
1,73
8,86
3,88
10,6
7,55
8,62
8,58
10,42
4,57
3,20
6,20
9,4
5,72
8,48
8,24
1,72
5,55
7,17
6,11
2,83
1,35
7,18
8,85
7,13
8,47
2,15
3,32
7,-1
8,27
2,37
8,33
9,74
3,59
6,91
10,26
-1,79
4,28
6,64
6,32
7,33
7,75
8,54
5,31
9,31
2,35
4,75
2,88
0,20
0,57
8,11
7,61
3,46
7,2
4,64
2,20
2,77
1,20
3,52
2,46
8,77
1,25
9,26
8,66
8,36
3,3
3,84
9,63
3,58
4,41
7,22
7,86
5,20
0,42
7,21
3,72
3,22
6,2
9,71
6,37
9,92
9,75
8,48
9,89
3,12
0,14
3,87
3,34
2,19
-1,18
0,34
1,27
8,34
7,7
8,70
6,84
1,49
3,19
5,5
2,69
1,2
9,65
6,28
8,81
-1,15
0,44
9,21
6,38
8,62
2,33
1,45
4,17
6,86
5,5
1,36
5,55
2,48
8,44
10,64
4,86
8,57
1,76
7,66
10,20
2,34
3,68
6,3
5,78
1,12
3,46
5,74
6,19
3,13
1,12
4,13
5,19
5,37
0,62
0,13
0,68
3,34
0,17
6,73
6,13
1,77
3,43
5,16
-1,93
3,8
8,5
1,57
1,48
10,81
3,47
0,89
4,69
5,2
2,51
6,69
-1,13
5,32
8,28
9,22
2,14
1,19
4,4
3,59
2,38
7,40
9,17
4,39
5,50
7,6
1,83
4,58
8,34
4,73
1,28
5,33
10,74
3,60
1,38
6,35
9,45
0,18
1,2
3,67
7,50
1,59
6,48
2,36
5,7
6,89
-1,66
2,55
4,17
5,9
10,78
4,13
2,44
9,84
7,30
2,55
6,20
2,55
4,7
1,24
7,82
5,50
6,28
5,71
3,64
9,89
8,47
1,91
6,49
6,73
5,48
7,64
6,6
0,19
2,47
5,82
0,13
6,44
2,23
4,80
6,0
10,43
0,18
4,47
1,67
4,53
2,45
-1,7
3,61
5,-1
5,59
3,37
8,14
1,88
6,66
2,78
7,83
9,64
4,40
-1,65
1,22
2,17
5,13
2,11
-1,33
2,34
7,47
8,8
0,35
3,78
8,83
9,79
9,31
10,23
5,35
9,72
3,44
8,31
2,32
4,47
0,75
4,23
5,75
-1,32
5,79
4,68
4,66
5,13
-1,71
2,89
7,88
8,49
1,86
7,9
1,31
2,58
9,82
8,63
6,10
7,54
0,6
1,18
9,50
2,72
4,46
4,19
7,74
3,56
3,42
9,16
6,60
2,26
3,31
7,47
1,21
9,34
5,4
1,20
4,51
1,33
7,18
6,73
3,12
4,81
1,4
4,29
8,52
5,61
7,7
9,10
4,29
5,71
0,34
1,21
8,26
1,8
6,29
3,-4
2,54
5,19
0,37
5,55
2,48
-1,74
5,14
9,86
5,5
8,23
0,51
4,48
1,49
2,67
2,27
7,86
1,61
1,10
4,-6
8,52
3,76
9,66
2,19
9,52
5,12
3,38
8,3
7,24
1,8
2,21
10,64
0,78
0,84
6,34
5,30
1,66
8,67
5,3
2,74
1,7
6,11
5,55
4,37
0,38
3,36
4,13
8,92
3,87
7,68
5,73
8,12
4,-6
9,27
1,57
7,9
4,64
5,28
9,81
5,26
5,5
4,41
4,68
7,31
0,13
6,23
5,77
2,82
8,67
0,12
2,23
1,95
4,43
0,30
1,1
7,35
1,12
0,21
5,8
9,20
7,81
7,57
5,63
3,12
5,45
6,-2
2,57
3,72
8,63
6,29
8,32
4,78
3,49
4,44
2,39
6,66
8,58
5,34
1,14
8,23
1,53
2,7
-1,47
2,29
2,22
3,60
9,62
2,8
2,11
0,84
6,73
3,23
4,13
3,26
7,67
10,9
7,11
8,14
8,50
4,4
7,37
6,6
1,20
3,18
4,29
7,33
8,33
7,87
4,25
7,19
3,16
5,38
7,75
4,4
7,83
10,5
4,66
8,22
6,50
8,4
4,23
8,46
8,57
2,78
5,4
9,66
8,29
5,68
0,63
8,67
7,33
4,60
7,76
8,4
3,72
0,39
4,61
4,14
6,75
0,32
2,27
9,33
8,80
10,18
6,61
4,72
4,48
5,76
9,61
6,43
1,0
8,66
6,33
4,7
7,2
5,79
1,1
8,69
5,66
6,77
2,76
1,67
6,78
5,32
4,42
7,54
3,-4
7,62
3,31
9,64
7,37
6,14
1,66
6,38
6,68
5,81
5,82
7,25
0,53
5,16
2,19
0,50
3,14
9,8
9,30
3,21
1,22
2,70
0,64
5,25
8,55
1,91
9,6
4,74
4,43
5,20
5,12
0,65
8,30
0,90
2,72
1,30
5,35
5,17
8,47
8,2
7,62
5,28
2,53
2,1
9,67
8,56
1,11
0,33
2,22
4,61
9,9
4,13
3,57
6,84
6,93
2,37
8,67
1,22
0,15
8,68
2,28
4,65
-1,40
4,52
6,20
8,6
2,28
4,93
5,24
3,21
5,89
2,76
0,28
5,76
4,78
7,13
7,45
0,62
7,2
6,13
9,65
7,-4
8,32
2,23
-1,19
1,57
-1,9
7,30
2,86
1,-2
10,4
-1,46
3,56
7,18
2,6
6,-1
6,71
0,79
5,91
0,30
0,68
8,36
5,38
3,26
9,78
10,24
4,86
2,32
3,10
8,50
6,61
6,42
5,40
2,23
2,52
9,69
4,39
8,25
2,45
2,84
1,17
5,69
8,52
3,46
0,48
3,75
3,66
3,75
2,20
7,26
7,15
0,4
8,34
8,33
3,76
2,36
4,59
1,74
-1,81
5,74
8,42
7,33
7,69
2,24
0,59
7,18
4,9
6,6
2,84
8,32
9,74
1,43
5,33
3,27
5,42
9,1
2,70
3,46
9,44
3,-3
1,71
1,25
3,3
1,63
0,25
8,47
2,28
8,79
4,77
1,33
7,73
4,59
2,24
6,30
6,53
4,37
8,2
1,37
5,27
7,67
5,61
6,0
6,57
3,65
8,33
5,-3
0,60
3,17
3,23
8,81
2,61
4,58
0,7
2,76
3,26
10,60
0,92
6,22
8,20
5,86
4,70
8,26
5,81
2,4
10,42
7,78
3,34
6,13
-1,0
7,88
4,81
-1,1
7,78
3,24
7,62
9,76
3,22
-1,59
3,85
7,77
9,48
5,30
8,33
1,6
9,37
4,34
-1,29
8,2
4,61
8,9
9,68
6,40
6,46
6,7
6,64
5,70
8,51
5,17
7,23
8,20
4,84
8,4
0,55
4,83
5,8
8,92
10,22
2,9
3,41
7,35
-1,54
5,25
8,12
1,85
0,10
6,30
4,79
9,72
0,69
8,54
3,58
7,72
8,20
3,53
1,18
-1,13
8,52
9,44
1,81
7,79
1,65
5,33
10,12
7,78
4,82
4,11
4,20
5,30
9,84
2,70
8,29
4,33
3,65
7,13
3,63
3,75
3,72
3,25
1,39
0,29
5,3
6,83
5,82
8,26
4,81
2,80
1,70
7,7
8,74
6,29
3,24
3,7
6,81
9,73
3,91
7,87
5,80
6,85
6,23
3,48
7,9
5,27
1,15
3,62
3,8
4,80
10,68
5,41
3,51
9,69
-1,58
3,35
7,69
6,9
7,52
2,79
7,54
7,51
0,66
7,50
4,78
6,64
6,56
6,32
5,40
8,16
5,8
3,54
7,16
2,12
6,81
1,62
4,29
7,29
0,14
4,16
8,75
6,13
1,21
9,0
4,0
3,63
7,52
2,63
-1,67
7,6
7,35
3,51
5,83
6,48
3,5
1,57
9,25
9,56
3,69
7,16
5,95
1,25
4,67
7,10
7,53
-1,32
8,23
3,74
6,51
3,48
8,20
3,6
4,27
9,64
5,29
-1,26
4,14
4,16
6,66
4,15
1,11
6,21
1,4
1,74
9,91
5,25
6,52
3,64
5,18
1,17
6,20
3,51
2,86
1,8
4,0
5,67
8,8
6,72
2,19
8,38
5,34
7,37
4,76
6,14
7,82
3,46
1,18
6,61
4,27
1,63
8,81
9,86
1,59
7,16
2,53
0,33
5,37
2,60
9,65
0,21
2,5
3,-1
9,23
7,78
0,86
9,13
0,26
4,36
5,87
6,16
3,68
0,40
3,76
6,19
4,53
1,65
7,62
8,24
4,62
3,58
0,75
6,20
8,44
0,87
9,86
2,88
9,20
4,38
10,-2
9,25
10,74
1,64
9,57
6,71
4,0
0,31
1,75
4,65
3,20
0,89
2,14
-1,32
8,71
2,44
6,87
10,46
-1,58
8,-6
3,45
6,18
9,37
3,10
9,47
2,54
8,55
6,68
4,-5
2,20
2,78
5,44
8,74
9,14
2,11
3,78
6,16
1,27
9,38
8,2
1,23
5,32
6,88
0,31
1,57
8,64
8,46
-1,48
0,58
4,45
4,77
4,6
7,-3
6,54
7,10
6,23
6,87
8,67
0,4
7,2
5,47
3,82
6,37
9,26
6,46
8,12
6,8
7,56
8,59
7,31
8,26
0,81
3,23
0,64
0,72
4,82
8,12
7,39
5,83
9,72
2,92
9,91
4,11
6,60
4,70
8,59
7,55
1,48
0,28
1,89
-1,85
9,14
3,72
1,38
2,86
4,40
2,20
7,54
5,11
2,60
9,1
3,29
1,79
7,8
-1,17
1,52
5,76
6,74
1,87
8,20
9,23
4,74
5,73
3,46
2,16
5,31
3,0
5,43
4,64
2,82
6,12
7,61
8,77
4,64
3,16
5,51
9,41
1,24
9,39
1,29
5,8
0,92
7,8
8,36
4,48
2,25
6,19
2,18
2,50
9,81
5,59
2,4
6,88
2,28
1,66
2,85
7,71
8,9
8,70
3,35
7,11
2,33
8,40
4,58
10,80
2,34
9,29
2,16
2,72
5,38
2,47
4,12
9,70
-1,86
6,82
4,71
0,36
2,79
1,86
9,8
2,85
7,29
5,18
5,7
6,75
8,82
3,39
5,82
6,30
9,28
0,66
5,8
8,75
8,62
7,41
2,0
0,32
5,72
3,52
10,70
0,56
8,25
3,45
2,22
6,74
8,12
9,29
3,75
1,73
4,73
5,9
0,71
10,37
6,63
0,70
2,72
0,82
7,8
7,46
3,-2
6,76
7,81
1,62
0,55
8,40
-1,42
1,81
6,24
1,27
6,15
4,41
2,50
9,40
3,16
3,36
4,74
0,31
9,37
6,73
8,57
6,3
2,10
4,78
-1,14
4,46
3,7
5,5
4,78
5,53
6,58
-1,26
4,68
6,64
5,23
1,64
9,7
1,35
0,19
6,56
6,56
3,88
6,57
6,72
4,25
8,66
4,6
7,28
7,16
5,33
2,67
6,34
5,32
2,44
1,6
7,6
10,86
2,7
4,9
0,36
4,69
3,73
6,4
4,56
0,39
1,58
1,72
2,79
1,14
7,8
2,88
8,29
3,32
1,15
9,50
4,32
8,19
7,68
4,9
1,31
6,40
10,75
1,83
8,19
8,76
2,73
1,26
8,7
9,60
6,44
8,40
6,13
-1,61
3,29
3,60
2,35
7,65
10,83
7,39
4,30
0,57
4,69
9,48
3,7
2,38
8,-3
2,29
9,71
8,56
0,10
2,75
3,22
6,67
8,45
4,0
8,87
5,61
3,39
6,12
5,33
5,54
3,58
8,73
3,57
6,44
9,16
3,9
9,19
5,72
9,39
8,52
4,88
5,79
6,81
2,50
0,19
4,59
8,63
1,19
-1,61
6,38
8,76
8,0
-1,12
5,23
7,6
5,32
9,8
1,50
7,2
1,4
6,81
8,6
6,37
5,33
8,68
7,73
3,78
3,42
3,18
2,18
6,18
6,70
7,14
7,70
2,71
9,40
8,73
2,46
5,7
4,29
6,50
4,32
2,44
7,55
10,91
3,21
8,25
8,45
4,81
8,86
1,76
2,65
4,36
3,27
7,70
6,61
4,39
2,14
3,35
3,43
7,20
6,33
5,35
3,17
3,76
6,22
8,44
9,1
6,71
5,-2
2,59
6,34
3,1
1,13
5,15
6,41
9,45
4,26
6,15
7,29
8,33
6,67
1,42
4,26
1,50
6,44
4,65
7,10
1,14
6,0
1,27
5,53
3,14
7,18
8,83
4,38
1,47
1,53
1,44
2,84
8,29
4,24
4,21
4,42
9,80
4,5
0,22
4,22
6,79
2,12
5,57
9,19
6,20
3,72
9,72
8,53
8,78
5,25
0,29
8,1
8,8
4,46
5,18
5,78
3,47
4,77
1,28
2,24
4,18
7,45
7,55
1,5
1,72
2,13
2,20
5,83
8,37
4,70
8,57
1,33
1,42
6,72
1,33
1,20
2,55
1,77
2,29
4,86
3,-2
6,64
0,38
4,68
8,36
5,3
2,1
9,80
9,39
3,14
6,58
0,24
5,95
8,60
8,36
5,85
6,31
2,24
6,65
6,58
7,-2
5,55
2,76
5,78
8,-3
2,22
5,64
6,12
5,26
4,26
6,56
8,36
10,35
9,83
5,8
8,81
8,45
1,78
1,53
6,36
7,77
9,30
7,76
2,5
1,76
5,63
3,93
7,31
-1,41
4,66
6,36
8,92
4,55
8,88
2,48
10,84
10,50
9,78
10,8
0,11
0,21
0,42
5,86
8,45
0,26
4,26
5,3
8,76
5,35
8,74
9,75
8,82
6,39
-1,54
2,63
2,22
6,55
2,70
9,65
7,42
3,73
1,85
2,16
2,91
1,48
3,67
3,52
-1,58
3,20
7,13
6,14
1,51
7,18
5,86
6,47
1,46
3,10
6,25
4,18
6,64
2,4
0,77
3,8
2,19
8,61
0,88
2,88
6,83
2,51
3,28
6,72
8,76
4,46
1,23
8,73
2,51
2,12
1,80
0,29
7,15
7,8
0,57
4,5
2,83
9,47
8,44
0,6
8,21
2,72
7,65
8,17
4,82
-1,53
8,20
4,20
1,2
5,3
8,26
3,4
1,32
-1,12
7,73
8,7
1,13
5,53
1,92
4,73
10,37
2,60
0,82
4,42
10,2
2,36
5,86
1,51
4,34
6,39
3,13
2,75
3,49
2,15
1,7
3,89
5,57
8,53
7,77
3,34
1,49
6,31
-1,52
1,79
4,37
5,71
9,34
10,73
-1,-1
8,50
3,51
7,28
4,30
2,77
0,23
0,65
4,8
9,74
0,33
4,74
10,66
4,53
5,3
8,47
6,49
8,74
3,22
9,53
8,91
0,32
7,73
6,31
7,33
8,33
2,60
6,68
5,64
5,35
8,-1
0,73
9,12
5,44
7,33
1,73
0,34
3,12
8,29
7,42
3,70
9,46
4,29
2,61
5,60
0,37
1,45
6,3
4,55
9,34
7,95
2,76
5,74
1,52
2,7
1,29
7,77
